id	Taxa	level	taxon	score	topscore	% ident	cov	full	votesfor	votestotal	newOrder	mismatches
751	S000012343	Clostridium sp.	SPECIES	Clostridium isatidis	2605	2605	100	1	Bacteria::Firmicutes:Clostridia:Clostridiales:Clostridiaceae:Clostridium:Clostridium isatidis	1	1	10	MISMATCH_SPECIES
783	S000012797	Xanthomonas bromi	SPECIES	Xanthomonas vesicatoria	2958	2958	99.67	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Xanthomonas:Xanthomonas vesicatoria	2	3	10	MISMATCH_SPECIES
948	S000015789	Xanthomonas campestris	SPECIES	Xanthomonas hyacinthi	2967	2967	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Xanthomonas:Xanthomonas hyacinthi	1	1	10	MISMATCH_SPECIES
949	S000015790	Xanthomonas pisi	SPECIES	Xanthomonas vesicatoria	2973	2973	99.93	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Xanthomonas:Xanthomonas vesicatoria	2	3	10	MISMATCH_SPECIES
950	S000015791	Xanthomonas vasicola	SPECIES	Xanthomonas axonopodis	2977	2977	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Xanthomonas:Xanthomonas axonopodis	2	3	10	MISMATCH_SPECIES
985	S000016631	Streptosporangium nondiastaticum	SPECIES	Planomonospora parontospora	2109	2109	97.02	0.884981684981685	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptosporangiaceae:Planomonospora:Planomonospora parontospora	1	1	10	MISMATCH_SPECIES
1010	S000016939	Gordonia rubripertinctus	SPECIES	Gordonia rubripertincta	2763	2763	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Gordoniaceae:Gordonia:Gordonia rubripertincta	1	1	10	MISMATCH_SPECIES
1133	S000021216	Rhizobium larrymoorei	SPECIES	Agrobacterium larrymoorei	2843	2843	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Agrobacterium:Agrobacterium larrymoorei	1	1	10	MISMATCH_SPECIES
1240	S000083870	Isoptericola variabile	SPECIES	Isoptericola variabilis	2918	2918	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Promicromonosporaceae:Isoptericola:Isoptericola variabilis	1	1	10	MISMATCH_SPECIES
1268	S000089782	Blastomonas ursincola	SPECIES	Sphingomonas ursincola	2835	2835	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Sphingomonadales:Sphingomonadaceae:Sphingomonas:Sphingomonas ursincola	1	1	10	MISMATCH_SPECIES
1277	S000091708	Allokutzneria albata	SPECIES	Kibdelosporangium albatum	2910	2910	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Pseudonocardiaceae:Kibdelosporangium:Kibdelosporangium albatum	1	1	10	MISMATCH_SPECIES
1286	S000099372	Lactobacillus durianis	SPECIES	Lactobacillus vaccinostercus	2956	2956	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:Lactobacillus vaccinostercus	8	8	10	MISMATCH_SPECIES
1324	S000113071	Bacillus silvestris	SPECIES	Solibacillus silvestris	2987	2987	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Planococcaceae:Solibacillus:Solibacillus silvestris	1	1	10	MISMATCH_SPECIES
1355	S000122852	Shewanella sairae	SPECIES	Shewanella marinintestina	2854	2854	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Alteromonadales:Shewanellaceae:Shewanella:Shewanella marinintestina	3	4	10	MISMATCH_SPECIES
1461	S000128881	Novispirillum itersonii	SPECIES	Novospirillum itersonii	2512	2512	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Rhodospirillaceae:Novispirillum:Novospirillum itersonii	1	1	10	MISMATCH_SPECIES
1618	S000136808	Chlorobium clathratiforme	SPECIES	Pelodictyon clathratiforme	2607	2607	100	0.989667896678967	Bacteria::Chlorobi:Chlorobia:Chlorobiales:Chlorobiaceae:Pelodictyon:Pelodictyon clathratiforme	1	1	10	MISMATCH_SPECIES
1622	S000137057	Chlorobium luteolum	SPECIES	Pelodictyon luteolum	2698	2698	100	0.989308624376336	Bacteria::Chlorobi:Chlorobia:Chlorobiales:Chlorobiaceae:Pelodictyon:Pelodictyon luteolum	1	1	10	MISMATCH_SPECIES
1650	S000141396	Teichococcus ludipueritiae	SPECIES	Roseomonas ludipueritiae	2942	2942	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Acetobacteraceae:Roseomonas:Roseomonas ludipueritiae	1	1	10	MISMATCH_SPECIES
1653	S000142049	Aeromonas bestiarum	SPECIES	Aeromonas salmonicida	2977	2977	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Aeromonadales:Aeromonadaceae:Aeromonas:Aeromonas salmonicida	7	8	10	MISMATCH_SPECIES
1655	S000142444	Muricoccus roseus	SPECIES	Roseomonas rosea	2936	2936	100	0.997306397306397	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Acetobacteraceae:Roseomonas:Roseomonas rosea	1	1	10	MISMATCH_SPECIES
1658	S000143178	Streptomyces coelescens	SPECIES	Streptomyces coelicolor	3003	3003	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces coelicolor	4	6	10	MISMATCH_SPECIES
1681	S000146513	Sporosarcina macmurdoensis	SPECIES	Paenisporosarcina macmurdoensis	2940	2940	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Planococcaceae:Paenisporosarcina:Paenisporosarcina macmurdoensis	1	1	10	MISMATCH_SPECIES
1701	S000247785	Deinococcus sp.	SPECIES	Deinococcus frigens	2954	2954	100	1	Bacteria::Deinococcus-Thermus:Deinococci:Deinococcales:Deinococcaceae:Deinococcus:Deinococcus frigens	1	1	10	MISMATCH_SPECIES
1702	S000247787	Deinococcus sp.	SPECIES	Deinococcus saxicola	2952	2952	100	1	Bacteria::Deinococcus-Thermus:Deinococci:Deinococcales:Deinococcaceae:Deinococcus:Deinococcus saxicola	1	1	10	MISMATCH_SPECIES
1703	S000247788	Deinococcus sp.	SPECIES	Deinococcus marmoris	2954	2954	100	1	Bacteria::Deinococcus-Thermus:Deinococci:Deinococcales:Deinococcaceae:Deinococcus:Deinococcus marmoris	1	1	10	MISMATCH_SPECIES
1815	S000270583	Streptomyces griseus	SPECIES	Streptomyces erumpens	2967	2967	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces erumpens	1	1	10	MISMATCH_SPECIES
1868	S000324392	Klebsiella variicola	SPECIES	Klebsiella pneumoniae	2799	2799	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella:Klebsiella pneumoniae	3	4	10	MISMATCH_SPECIES
1872	S000333610	Citricella thiooxidans	SPECIES	Citreicella thiooxidans	2714	2714	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodobacterales:Rhodobacteraceae:Citreicella:Citreicella thiooxidans	1	1	10	MISMATCH_SPECIES
1921	S000352703	Spirochaeta sp.	SPECIES	Spirochaeta coccoides	2932	2932	100	1	Bacteria::Spirochaetes:Spirochaetes (class):Spirochaetales:Spirochaetaceae:Spirochaeta:Spirochaeta coccoides	1	1	10	MISMATCH_SPECIES
1974	S000363187	Helicobacter sp.	SPECIES	Helicobacter pametensis	2936	2936	100	1	Bacteria::Proteobacteria:Epsilonproteobacteria:Campylobacterales:Helicobacteraceae:Helicobacter:Helicobacter pametensis	1	1	10	MISMATCH_SPECIES
1983	S000364328	Ensifer meliloti	SPECIES	Sinorhizobium meliloti	2849	2849	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium meliloti	10	12	10	MISMATCH_SPECIES
1984	S000364331	Rhizobium vitis	SPECIES	Agrobacterium vitis	2841	2841	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Agrobacterium:Agrobacterium vitis	6	6	10	MISMATCH_SPECIES
1985	S000364334	Rhizobium rubi	SPECIES	Agrobacterium rubi	2835	2835	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Agrobacterium:Agrobacterium rubi	1	1	10	MISMATCH_SPECIES
1986	S000364342	Ensifer terangae	SPECIES	Sinorhizobium terangae	2849	2849	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium terangae	2	2	10	MISMATCH_SPECIES
1987	S000364344	Ensifer saheli	SPECIES	Sinorhizobium saheli	2849	2849	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium saheli	1	1	10	MISMATCH_SPECIES
2011	S000364783	Nocardia sp.	SPECIES	Nocardia anaemiae	2969	2969	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Nocardiaceae:Nocardia:Nocardia anaemiae	1	1	10	MISMATCH_SPECIES
2118	S000381077	Alicyclobacillus disulfidooxydans	SPECIES	Alicyclobacillus disulfidooxidans	2965	2965	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Alicyclobacillaceae:Alicyclobacillus:Alicyclobacillus disulfidooxidans	1	1	10	MISMATCH_SPECIES
2125	S000381172	Dickeya chrysanthemi	SPECIES	Erwinia chrysanthemi	2890	2890	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Dickeya:Erwinia chrysanthemi	1	1	10	MISMATCH_SPECIES
2170	S000381650	Streptococcus bovis	SPECIES	Streptococcus equinus	2888	2888	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:Streptococcus equinus	1	1	10	MISMATCH_SPECIES
2344	S000386953	Moraxella (Moraxella)	SPECIES	Moraxella lacunata	2866	2866	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella lacunata	2	2	10	MISMATCH_SPECIES
2345	S000386975	Moraxella (Moraxella)	SPECIES	Moraxella bovis	2868	2868	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella bovis	1	1	10	MISMATCH_SPECIES
2346	S000386978	Moraxella (Branhamella)	SPECIES	Moraxella catarrhalis	2866	2866	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella catarrhalis	1	1	10	MISMATCH_SPECIES
2347	S000386979	Moraxella (Branhamella)	SPECIES	Moraxella ovis	2866	2866	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella ovis	1	1	10	MISMATCH_SPECIES
2348	S000386980	Moraxella (Branhamella)	SPECIES	Moraxella caviae	2866	2866	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella caviae	1	1	10	MISMATCH_SPECIES
2398	S000387300	Thialkalimicrobium sibericum	SPECIES	Thioalkalimicrobium sibiricum	2936	2936	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Thiotrichales:Piscirickettsiaceae:Thioalkalimicrobium:Thioalkalimicrobium sibiricum	1	1	10	MISMATCH_SPECIES
2461	S000388391	Actinomadura spadix	SPECIES	Actinoallomurus spadix	2890	2890	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Thermomonosporaceae:Actinoallomurus:Actinoallomurus spadix	1	1	10	MISMATCH_SPECIES
2468	S000388482	Bacillus pycnus	SPECIES	Rummeliibacillus pycnus	2791	2791	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Planococcaceae:Rummeliibacillus:Rummeliibacillus pycnus	2	2	10	MISMATCH_SPECIES
2474	S000388556	Catelliglobosispora koreensis	SPECIES	Catellatospora koreensis	2981	2981	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Micromonosporaceae:Catellatospora:Catellatospora koreensis	1	1	10	MISMATCH_SPECIES
2482	S000388584	Caldanaerobacter subterraneus	SPECIES	Carboxydibrachium pacificum	2946	2946	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacteraceae:Carboxydibrachium:Carboxydibrachium pacificum	1	1	10	MISMATCH_SPECIES
2496	S000388715	Defluvicoccus vanus	SPECIES	Defluviicoccus vanus	2878	2878	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Rhodospirillaceae:Defluviicoccus:Defluviicoccus vanus	1	1	10	MISMATCH_SPECIES
2515	S000388994	Methylobacterium extorquens	SPECIES	Methylobacterium chloromethanicum	2862	2862	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Methylobacteriaceae:Methylobacterium:Methylobacterium chloromethanicum	1	1	10	MISMATCH_SPECIES
2522	S000389130	Caldanaerobacter subterraneus	SPECIES	Thermoanaerobacter tengcongensis	3025	3025	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacteraceae:Thermoanaerobacter:Thermoanaerobacter tengcongensis	1	1	10	MISMATCH_SPECIES
2525	S000389225	Caldanaerobacter subterraneus	SPECIES	Thermoanaerobacter yonseiensis	2963	2963	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacteraceae:Thermoanaerobacter:Thermoanaerobacter yonseiensis	1	1	10	MISMATCH_SPECIES
2666	S000391664	Simonsiella sp.	SPECIES	Conchiformibius kuhniae	2878	2878	100	1	Bacteria::Proteobacteria:Betaproteobacteria:Neisseriales:Neisseriaceae:Conchiformibius:Conchiformibius kuhniae	1	1	10	MISMATCH_SPECIES
2704	S000392506	Yersinia pestis	SPECIES	Yersinia pseudotuberculosis	2896	2896	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Yersinia:Yersinia pseudotuberculosis	4	6	10	MISMATCH_SPECIES
2708	S000392553	Zymophilus paucivorans	SPECIES	Zymophilus raffinosivorans	2512	2512	97.57	0.931515957446808	Bacteria::Firmicutes:Clostridia:Clostridiales:Veillonellaceae:Zymophilus:Zymophilus raffinosivorans	1	1	10	MISMATCH_SPECIES
2757	S000394134	Paenibacillus hongkongensis	SPECIES	Cohnella hongkongensis	2910	2910	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Paenibacillaceae:Cohnella:Cohnella hongkongensis	1	1	10	MISMATCH_SPECIES
2801	S000395648	Actinoalloteichus cyanogriseus	SPECIES	Streptomyces laceyi	2866	2866	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces laceyi	2	3	10	MISMATCH_SPECIES
2874	S000404896	Thermovibrio ammoniificans	SPECIES	Thermovibrio ammonificans	2876	2876	100	1	Bacteria::Aquificae:Aquificae (class):Aquificales:Desulfurobacteriaceae:Thermovibrio:Thermovibrio ammonificans	1	1	10	MISMATCH_SPECIES
2896	S000413471	Rhizobium rhizogenes	SPECIES	Agrobacterium rhizogenes	2666	2666	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Agrobacterium:Agrobacterium rhizogenes	1	1	10	MISMATCH_SPECIES
2901	S000413535	Ensifer fredii	SPECIES	Sinorhizobium fredii	2918	2918	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium fredii	1	1	10	MISMATCH_SPECIES
2974	S000413975	Staphylococcus xylosus	SPECIES	Staphylococcus saprophyticus	2928	2928	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus:Staphylococcus saprophyticus	2	3	10	MISMATCH_SPECIES
3078	S000414470	Prevotella heparinolytica	SPECIES	Bacteroides heparinolyticus	2791	2791	100	0.994579945799458	Bacteria::Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:Bacteroides heparinolyticus	1	1	10	MISMATCH_SPECIES
3079	S000414471	Prevotella zoogleoformans	SPECIES	Bacteroides zoogleoformans	2753	2753	100	1	Bacteria::Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:Bacteroides zoogleoformans	1	1	10	MISMATCH_SPECIES
3086	S000414478	Tannerella forsythensis	SPECIES	Tannerella forsythia	2847	2847	100	0.99931787175989	Bacteria::Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Tannerella:Tannerella forsythia	1	1	10	MISMATCH_SPECIES
3164	S000415130	Jannaschia cystaugens	SPECIES	Thalassobacter stenotrophicus	2656	2656	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodobacterales:Rhodobacteraceae:Thalassobacter:Thalassobacter stenotrophicus	1	1	10	MISMATCH_SPECIES
3175	S000416814	Clostridium sp.	SPECIES	Subdoligranulum variabile	2783	2783	100	1	Bacteria::Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Subdoligranulum:Subdoligranulum variabile	1	1	10	MISMATCH_SPECIES
3176	S000416815	Mycobacterium psychrotolerans	SPECIES	Mycobacterium fortuitum	2763	2763	98.28	0.998681608437706	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Mycobacteriaceae:Mycobacterium:Mycobacterium fortuitum	2	2	10	MISMATCH_SPECIES
3191	S000417331	Marinomonas sp.	SPECIES	Marinomonas polaris	2924	2924	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Oceanospirillales:Oceanospirillaceae:Marinomonas:Marinomonas polaris	1	1	10	MISMATCH_SPECIES
3192	S000417333	Byssophaga cruenta	SPECIES	Byssovorax cruenta	3031	3031	100	1	Bacteria::Proteobacteria:Deltaproteobacteria:Myxococcales:Polyangiaceae:Byssovorax:Byssovorax cruenta	1	1	10	MISMATCH_SPECIES
3289	S000428013	Burkholderia vietnamiensis	SPECIES	Burkholderia ambifaria	2817	2817	100	1	Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales:Burkholderiaceae:Burkholderia:Burkholderia ambifaria	1	1	10	MISMATCH_SPECIES
3369	S000428517	Acidovorax avenae	SPECIES	Acidovorax citrulli	3007	3007	100	1	Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Acidovorax:Acidovorax citrulli	1	1	10	MISMATCH_SPECIES
3370	S000428518	Acidovorax avenae	SPECIES	Acidovorax cattleyae	3001	3001	100	1	Bacteria::Proteobacteria:Betaproteobacteria:Burkholderiales:Comamonadaceae:Acidovorax:Acidovorax cattleyae	1	1	10	MISMATCH_SPECIES
3392	S000428680	Streptococcus gallolyticus	SPECIES	Streptococcus macedonicus	2942	2942	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:Streptococcus macedonicus	1	1	10	MISMATCH_SPECIES
3458	S000430606	Acinetobacter junii	SPECIES	Acinetobacter grimontii	2626	2626	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter:Acinetobacter grimontii	1	1	10	MISMATCH_SPECIES
3493	S000434385	Methylobacterium rhodesianum	SPECIES	Methylobacterium lusitanum	2734	2734	100	0.999289267945984	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Methylobacteriaceae:Methylobacterium:Methylobacterium lusitanum	1	1	10	MISMATCH_SPECIES
3502	S000434588	Nocardiopsis sp.	SPECIES	Nocardiopsis exhalans	2876	2876	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Nocardiopsaceae:Nocardiopsis:Nocardiopsis exhalans	2	2	10	MISMATCH_SPECIES
3538	S000435483	Bacteroidetes bacterium	SPECIES	Polaribacter butkevichii	2841	2841	100	1	Bacteria::Bacteroidetes:Flavobacteria:Flavobacteriales:Flavobacteriaceae:Polaribacter:Polaribacter butkevichii	1	1	10	MISMATCH_SPECIES
3588	S000436036	Rhizobium radiobacter	SPECIES	Agrobacterium tumefaciens	2952	2952	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Agrobacterium:Agrobacterium tumefaciens	1	1	10	MISMATCH_SPECIES
3804	S000436672	Haemophilus segnis	SPECIES	Aggregatibacter segnis	2805	2805	100	0.997295469912103	Bacteria::Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Aggregatibacter:Aggregatibacter segnis	1	1	10	MISMATCH_SPECIES
3862	S000437097	Moraxella (Branhamella)	SPECIES	Moraxella catarrhalis	2995	2995	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Moraxella:Moraxella catarrhalis	1	1	10	MISMATCH_SPECIES
3874	S000437159	Thermoanerobacter brockii	SPECIES	Thermoanaerobacter brockii	2969	2969	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacteraceae:Thermoanaerobacter:Thermoanaerobacter brockii	1	1	10	MISMATCH_SPECIES
3922	S000437528	Butyrivibrio proteoclasticus	SPECIES	Clostridium proteoclasticum	3005	3005	100	1	Bacteria::Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Butyrivibrio:Clostridium proteoclasticum	1	1	10	MISMATCH_SPECIES
3924	S000437566	Caldanaerobius polysaccharolyticus	SPECIES	Thermoanaerobacterium polysaccharolyticum	2850	2850	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacterales Family III. Incertae Sedis:Thermoanaerobacterium:Thermoanaerobacterium polysaccharolyticum	1	1	10	MISMATCH_SPECIES
4015	S000438421	Caldanaerobius zeae	SPECIES	Thermoanaerobacterium zeae	2801	2801	100	1	Bacteria::Firmicutes:Clostridia:Thermoanaerobacterales:Thermoanaerobacterales Family III. Incertae Sedis:Thermoanaerobacterium:Thermoanaerobacterium zeae	1	1	10	MISMATCH_SPECIES
4080	S000439318	Rhodocista centenaria	SPECIES	Rhodospirillum centenum	2535	2535	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Rhodospirillaceae:Rhodospirillum:Rhodospirillum centenum	1	1	10	MISMATCH_SPECIES
4154	S000445670	Rhodanobacter fulva	SPECIES	Rhodanobacter fulvus	2934	2934	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Rhodanobacter:Rhodanobacter fulvus	1	1	10	MISMATCH_SPECIES
4173	S000447136	Brevibacterium halotolerans	SPECIES	[Brevibacterium] halotolerans	2999	2999	100	1	Bacteria::Firmicutes:Bacilli:Bacillales:Bacillaceae:Bacillus:[Brevibacterium] halotolerans	2	2	10	MISMATCH_SPECIES
4206	S000460393	Mycobacterium bonickei	SPECIES	Mycobacterium boenickei	2969	2969	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Mycobacteriaceae:Mycobacterium:Mycobacterium boenickei	1	1	10	MISMATCH_SPECIES
4238	S000468990	Ensifer fredii	SPECIES	Sinorhizobium xinjiangense	2833	2833	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhizobiales:Rhizobiaceae:Sinorhizobium:Sinorhizobium xinjiangense	1	1	10	MISMATCH_SPECIES
4252	S000469274	Kitasatospora cochleata	SPECIES	Streptomyces cinereorectus	2989	2989	100	0.997359735973597	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces cinereorectus	1	1	10	MISMATCH_SPECIES
4260	S000469294	Acetobacter pasteurianus	SPECIES	Acetobacter peroxydans	2646	2646	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodospirillales:Acetobacteraceae:Acetobacter:Acetobacter peroxydans	1	1	10	MISMATCH_SPECIES
4294	S000471091	Lactobacillus rossii	SPECIES	Lactobacillus rossiae	2712	2712	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:Lactobacillus rossiae	1	1	10	MISMATCH_SPECIES
4307	S000471772	Jannaschia cystaugens	SPECIES	Thalassobacter stenotrophicus	2904	2904	100	1	Bacteria::Proteobacteria:Alphaproteobacteria:Rhodobacterales:Rhodobacteraceae:Thalassobacter:Thalassobacter stenotrophicus	1	1	10	MISMATCH_SPECIES
4314	S000472247	Photobacterium eurosenbergii	SPECIES	Photobacterium rosenbergii	2956	2956	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Vibrionales:Vibrionaceae:Photobacterium:Photobacterium rosenbergii	1	1	10	MISMATCH_SPECIES
4492	S000514212	Enterococcus caccae	SPECIES	Enterococcus silesiacus	2940	2940	100	1	Bacteria::Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus:Enterococcus silesiacus	2	3	10	MISMATCH_SPECIES
